ME_NUMCDE;ME_LIVREA;ME_CPROIN;ME_NQTUVC;AR_VOLSPCB;TRUNC(ME_DATEXP)
PO0017KOJB;F315;477568;24;0.8;02.19.2019
PO0017KOJB;F315;574699;6;4.4;02.19.2019
PO0017KOJB;F315;474835;6;3.4;02.19.2019
PO0017KOJB;F315;660939;24;3.4;02.19.2019
PO0017KOJB;F315;574698;12;2.5;02.19.2019
PO0017KOJB;F315;410920;12;2.3;02.19.2019
PO0017KOJB;F315;689772;12;2.1;02.19.2019
PO0017KOZG;F348;749658;10;1.2;02.19.2019
PO0017KOZG;F348;738362;30;1.2;02.19.2019
PO0017KOZG;F348;742891;8;1.3;02.19.2019
PO0017KOZG;F348;621331;10;1.8;02.19.2019
PO0017KOZG;F348;759842;16;1.2;02.19.2019
PO0017KOZG;F348;762023;8;1.2;02.19.2019
PO0017KOZG;F348;742105;10;0.8;02.19.2019
PO0017KOZG;F348;759843;8;1.2;02.19.2019
PO0017KOZG;F348;2007;6;1.6;02.19.2019
PO0017KOZG;F348;365776;36;0.2;02.19.2019
PO0017KOZG;F348;659841;16;0.4;02.19.2019
PO0017KOZG;F348;664167;20;0.3;02.19.2019
PO0017KOZG;F348;659822;24;0.3;02.19.2019
PO0017KOZG;F348;366101;24;1.3;02.19.2019
PO0017KOZG;F348;712739;48;1.2;02.19.2019
PO0017KOZG;F348;653589;25;2.4;02.19.2019
PO0017KOZG;F348;749163;12;4.8;02.19.2019
PO0017KOZG;F348;520332;4;1.1;02.19.2019
PO0017KOZG;F348;464770;24;5.7;02.19.2019
PO0017KOZG;F348;721993;12;9.0;02.19.2019
PO0017KOZG;F348;464562;10;4.4;02.19.2019
PO0017KOZG;F348;639806;12;1.0;02.19.2019
PO0017HJ46;F348;702742;40;0.7;02.19.2019
PO0017DPJ7;F348;368882;40;0.7;02.19.2019
PO0017FQ24;F348;3299;6;2.9;02.19.2019
PO0017FQ2B;F348;66208;16;0.6;02.19.2019
PO0017FQ27;F348;688235;10;0.6;02.19.2019
PO0017KOZG;F348;17692;1;25.3;02.19.2019
PO0017KOZG;F348;267060;1;26.0;02.19.2019
PO0017KOZG;F348;583840;1;22.6;02.19.2019
PO0017KOZG;F348;17682;1;21.4;02.19.2019
PO0017KOZG;F348;734381;1;10.6;02.19.2019
PO0017KOJB;F315;580560;6;2.4;02.19.2019
PO0017KOJB;F315;755624;12;0.8;02.19.2019
PO0017KOJB;F315;498758;12;1.0;02.19.2019
PO0017KOJB;F315;662576;12;1.5;02.19.2019
PO0017KOJB;F315;498763;12;1.0;02.19.2019
