ME_NUMCDE;ME_LIVREA;ME_CPROIN;ME_NQTUVC;AR_VOLSPCB;TRUNC(ME_DATEXP)
PO0017KOJB;F315;124176;24;0.7;02.19.2019
PO0017KOJB;F315;322422;15;0.8;02.19.2019
PO0017KOJB;F315;739302;7;0.5;02.19.2019
PO0017KOJB;F315;734574;10;0.5;02.19.2019
PO0017KOJB;F315;719788;30;1.1;02.19.2019
PO0017KOJB;F315;524817;20;0.5;02.19.2019
PO0017KOJB;F315;654308;24;2.3;02.19.2019
PO0017KOJB;F315;366439;16;1.5;02.19.2019
PO0017KOJB;F315;769349;13;0.9;02.19.2019
PO0017KOJB;F315;441069;21;1.4;02.19.2019
PO0017KOJB;F315;704589;35;0.6;02.19.2019
PO0017KOJB;F315;554459;12;1.9;02.19.2019
